"period","","price_w","area_m2"
"73","新凯二期 3室2厅 88.75平米","319","88.75"
"47","番南小区 1室1厅 37.69平米","405","37.69"
"179","新梅绿岛苑 2室2厅 82平米","428","82"
"160","中环和润苑 2室1厅 68.24平米","430","68.24"
"208","中星虹漕公寓 3室2厅 135.15平米","905","135.15"
"15","凤庆小区 2室1厅 50.75平米","147","50.75"
"123","金中苑 3室2厅 102.13平米","828","102.13"
"429","斜土新村 1室0厅 43.2平米","323","43.2"
"667","中福大厦 2房间1卫 38.6平米","170","38.6"
"49","曼克顿豪庭 3室2厅 154.6平米","1360","154.6"
"39","桥一小区 1室1厅 32.07平米","236","32.07"
"16","上大聚丰园 3室2厅 106.59平米","448","106.59"
"19","万科翡翠滨江(一期) 5室3厅 353.83平米","3799","353.83"
"177","馨佳园(菊泉街1398弄) 2室1厅 78.57平米","265","78.57"
"29","馨佳园(韶山路348弄) 2室1厅 76.92平米","286","76.92"
"16","九城湖滨国际 2室2厅 95.05平米","405","95.05"
"23","大华二村 2室1厅 61.93平米","290","61.93"
"39","绿庭尚城 2室2厅 103.45平米","371","103.45"
"432","凤城二村 1室1厅 36.45平米","151","36.45"
"36","水语人家南苑 1室1厅 56平米","180","56"
"47","密云小区 2室1厅 55.61平米","478","55.61"
"129","华沁家园 2室2厅 89.43平米","508","89.43"
"13","复兴苑 2室2厅 110.12平米","992","110.12"
"271","人乐三村 2室1厅 78.35平米","218","78.35"
"37","曹杨花苑 2室1厅 72.52平米","368","72.52"
"32","牡丹小区(浦东) 2室1厅 73.34平米","500","73.34"
"163","华云大楼 1室1厅 45.75平米","258","45.75"
"53","永和二村 2室1厅 52.45平米","262","52.45"
"16","通汇公寓 2室1厅 120.41平米","865","120.41"
"135","金泉苑(闵行) 4室2厅 254.74平米","839","254.74"
"63","长青坊 3室1厅 55.57平米","361","55.57"
"129","美林小城 2室2厅 90.11平米","389","90.11"
"24","绿洲康城亲水湾(中央区) 2室2厅 106.22平米","505","106.22"
"64","紫竹苑(奉贤) 2室1厅 77平米","179","77"
"14","田林十二村 2室0厅 50.13平米","400","50.13"
"137","浦江馨都 2室1厅 76平米","244","76"
"29","陇南小区 1室1厅 47.64平米","207","47.64"
"107","丹桂佳苑 2室2厅 81.32平米","178","81.32"
"28","闸园新村 2室1厅 74.07平米","150","74.07"
"15","梅陇三村 2室1厅 57.6平米","314","57.6"
"8","银河新都 2室1厅 67.28平米","284","67.28"
"10","地铁明珠苑 3室2厅 130平米","702","130"
"4","万源城尚郡 3室2厅 90.47平米","765","90.47"
"73","东方曼哈顿 3室2厅 143.78平米","1530","143.78"
"22","南苑五村 2室1厅 72.3平米","165","72.3"
"179","市光三村 2室1厅 47.58平米","217","47.58"
"32","清涧三街坊 2室1厅 79.42平米","342","79.42"
"118","航华一村 2室1厅 58.98平米","217","58.98"
"324","桃浦七村雪松苑 1室1厅 43.12平米","145","43.12"
"32","龙南三四村 2室1厅 68.06平米","325","68.06"
"22","漕河景苑 2室2厅 110.53平米","1145","110.53"
"43","春天花园 4室2厅 201.26平米","1585","201.26"
"151","路劲上海派 3室2厅 91平米","280","91"
"18","桂康小区 2室0厅 47.81平米","369","47.81"
"492","海滨三村 1室1厅 34.11平米","118","34.11"
"20","朱家滩小区 1室0厅 33.08平米","425","33.08"
"6","欣佳宝邸(北区) 1室1厅 57.32平米","182","57.32"
"81","瑞和华苑南区 2室2厅 80.02平米","209","80.02"
"48","绿洲康城亲水湾(中央区) 2室2厅 106.2平米","510","106.2"
"212","南江苑 3室2厅 122.56平米","515","122.56"
"55","潍坊六村 1室1厅 36.8平米","374","36.8"
"19","浦江宝邸 3室2厅 131.56平米","384","131.56"
"99","齐七小区 2室1厅 57.2平米","326","57.2"
"109","锦绣满堂花园 1室1厅 56.41平米","461","56.41"
"39","高行绿洲(六期) 2室1厅 74.14平米","310","74.14"
"5","金杨新村三街坊 1室1厅 42.71平米","215","42.71"
"107","南新一村(下南路161弄) 3室1厅 81.68平米","333","81.68"
"96","贝尔新村 2室1厅 63.55平米","290","63.55"
"548","香山新村东南街坊 2室1厅 59.7平米","257","59.7"
"165","南新二村 2室1厅 72.94平米","297","72.94"
"141","复旦教师公寓 1室1厅 38.91平米","228","38.91"
"71","金杨新村十街坊 3室1厅 73.05平米","385","73.05"
"23","交通公寓 1室1厅 44.64平米","280","44.64"
"131","龙南五村 1室1厅 55.14平米","275","55.14"
"13","恒大小区 2室2厅 72.91平米","412","72.91"
"92","同润加州(公寓) 2室2厅 95.33平米","365","95.33"
"68","兰花新村 2室1厅 48.7平米","278","48.7"
"116","陇南小区 1室1厅 50.7平米","207","50.7"
"97","奥林匹克花园 1室2厅 67.34平米","273","67.34"
"107","泗塘二村 2室0厅 47.36平米","215","47.36"
"59","九龙仓兰廷 3室1厅 91平米","506","91"
"24","达城家园 1室1厅 56.38平米","196","56.38"
"88","绿茵苑(浦东) 2室1厅 72.31平米","366","72.31"
"16","齐二小区 2室1厅 76.37平米","373","76.37"
"23","银南大厦 3室1厅 84.96平米","615","84.96"
"19","锦鸿公寓 2室2厅 95.13平米","363","95.13"
"60","塘东小区 2室1厅 52.75平米","323","52.75"
"13","小富人家 3室2厅 104.7平米","500","104.7"
"114","大华一村 1室1厅 40.51平米","198","40.51"
"19","丰庄十二街坊 2室0厅 54.45平米","245","54.45"
"205","大华三村二街坊 2室1厅 66.18平米","317","66.18"
"6","薛家宅小区 2室1厅 45.33平米","327","45.33"
"23","中远两湾城 1室2厅 62.36平米","512","62.36"
"2","梅园四街坊 2室1厅 49.46平米","527","49.46"
"196","同济新村 2室0厅 41.22平米","305","41.22"
"112","叶城二街坊 2室1厅 94.74平米","249","94.74"
"37","三江小区 2室1厅 64.56平米","490","64.56"
"197","真光新村第五小区 2室1厅 67.83平米","330","67.83"
"89","清涧二街坊 2室1厅 62.69平米","282","62.69"
"912","桐柏公寓 3室2厅 148.83平米","1000","148.83"
"3","延吉四村 1室1厅 34.76平米","212","34.76"
"243","振华大楼 2室1厅 73.89平米","586","73.89"
"129","万春小区 2室1厅 51.77平米","490","51.77"
"37","南丹小区 1室0厅 22.7平米","323","22.7"
"18","鸿宝一村(北区) 2室1厅 70.72平米","145","70.72"
"250","新中源大楼 1室1厅 45.34平米","235","45.34"
"324","广汇花苑 3室2厅 136.7平米","772","136.7"
"65","馨宁公寓 2室1厅 61.7平米","355","61.7"
"75","普乐三村 1室1厅 48.7平米","206","48.7"
"6","三阳小区 2室1厅 55.13平米","293","55.13"
"57","永和一村 2室1厅 73.35平米","310","73.35"
"20","中华小区 1室1厅 36.08平米","227","36.08"
"350","都汇华庭 1室1厅 45.43平米","103","45.43"
"17","浦江世博家园十街坊 2室2厅 81.36平米","350","81.36"
"144","中山北路255弄 1室0厅 25.49平米","140","25.49"
"63","何家宅小区 1室0厅 25.98平米","145","25.98"
"251","凉城路1201弄 3室1厅 70.9平米","350","70.9"
"107","民康苑 2室1厅 75.77平米","480","75.77"
"46","云台一小区 2室1厅 60.15平米","342","60.15"
"116","上城Uptown 1室2厅 52.93平米","595","52.93"
"1","慧芝湖花园 车位","40","34.97"
"56","锦西路150弄 1室0厅 30.29平米","158","30.29"
"87","鞍山四村第一小区 1室1厅 37.6平米","233","37.6"
"4","舒馨北苑 2室2厅 82.77平米","319","82.77"
"162","环镇北路323弄 1室1厅 54.83平米","190","54.83"
"61","都市宜家苑 2室2厅 84.88平米","328","84.88"
"16","公元新村 2室2厅 52.76平米","174","52.76"
"170","上虹新村 2室1厅 54.15平米","261","54.15"
"71","慧芝湖花园 3室2厅 159.33平米","1450","159.33"
"39","中远两湾城 车位","46","32.36"
"33","华骥苑 2室1厅 86.05平米","226","86.05"
"21","玉四小区 2室1厅 49.05平米","282","49.05"
"13","共康三村 2室0厅 44.26平米","181","44.26"
"57","永泰花苑 3室2厅 96平米","487","96"
"9","博学家园 2室2厅 82.36平米","524","82.36"
"6","长桥一村 1室0厅 38.78平米","340","38.78"
"9","三林世博家园(板泉路2101弄) 1室1厅 55.92平米","268","55.92"
"53","共富花园 3室2厅 92.21平米","337","92.21"
"30","新凯二期 1室1厅 47.39平米","157","47.39"
"520","新城金郡 3室2厅 126.23平米","422","126.23"
"63","鸿宝一村(北区) 3室1厅 91.67平米","192","91.67"
"56","玉兰花苑 1室1厅 64.33平米","620","64.33"
"7","浦江馨都 2室1厅 77.32平米","247","77.32"
"66","虹桥机场新村 2室1厅 56.44平米","248","56.44"
"11","金杨新村八街坊 2室1厅 72.08平米","336","72.08"
"81","上大聚丰园 3室2厅 109.03平米","442","109.03"
"433","罗阳七村(华宝小区) 3室1厅 84.88平米","333","84.88"
"290","临沂六村 1室1厅 36.86平米","177","36.86"
"116","金海岸花园 2室2厅 90平米","171","90"
"147","上海阳城 2室2厅 93.02平米","525","93.02"
"2","佳伟景苑 2室1厅 75.26平米","278","75.26"
"41","阳景小区 1室1厅 34.71平米","132","34.71"
"67","中环一号(一期) 2室2厅 93.98平米","475","93.98"
"72","曹杨九村 1室0厅 28.6平米","150","28.6"
"5","大华一村 2室1厅 69.45平米","325","69.45"
"566","翔殷四村 2室1厅 64.29平米","310","64.29"
"6","南江苑 2室1厅 67.19平米","364","67.19"
"236","蒙自路345弄 1室1厅 35.88平米","274","35.88"
"32","城市方园 2室1厅 69.81平米","321","69.81"
"672","象源丽都 2室2厅 102.56平米","594","102.56"
"64","合景峰汇(嘉定) 3房间1卫 43平米","96","43"
"82","安盛苑 2室1厅 90.09平米","335","90.09"
"119","玉兰二村 3室1厅 90.15平米","196","90.15"
"61","九城湖滨国际 3室1厅 123.9平米","505","123.9"
"48","书院一号公寓 1室1厅 65.69平米","131","65.69"
"29","新芳邻 2室1厅 86.67平米","362","86.67"
"92","惠康苑 1室1厅 58平米","152","58"
"44","潍坊四村 1室1厅 41.36平米","271","41.36"
"139","由由新景苑 2室1厅 86.67平米","480","86.67"
"132","牡丹逸庭 2室1厅 77.75平米","218","77.75"
"28","紫薇茗庭 1室1厅 50.88平米","125","50.88"
"73","新凯城银杏苑 2室1厅 72.56平米","208","72.56"
